Scenario,Technology,Year,Value
Advanced,Hydro / Flash,2022,71.28
Advanced,Hydro / Flash,2023,69.62
Advanced,Hydro / Flash,2024,68.05
Advanced,Hydro / Flash,2025,66.56
Advanced,Hydro / Flash,2026,65.14
Advanced,Hydro / Flash,2027,63.78
Advanced,Hydro / Flash,2028,62.49
Advanced,Hydro / Flash,2029,61.25
Advanced,Hydro / Flash,2030,60.06
Advanced,Hydro / Flash,2031,58.92
Advanced,Hydro / Flash,2032,57.83
Advanced,Hydro / Flash,2033,56.77
Advanced,Hydro / Flash,2034,55.75
Advanced,Hydro / Flash,2035,54.77
Advanced,Hydro / Flash,2036,54.57
Advanced,Hydro / Flash,2037,54.37
Advanced,Hydro / Flash,2038,54.18
Advanced,Hydro / Flash,2039,53.98
Advanced,Hydro / Flash,2040,53.79
Advanced,Hydro / Flash,2041,53.6
Advanced,Hydro / Flash,2042,53.4
Advanced,Hydro / Flash,2043,53.21
Advanced,Hydro / Flash,2044,53.02
Advanced,Hydro / Flash,2045,52.83
Advanced,Hydro / Flash,2046,52.64
Advanced,Hydro / Flash,2047,52.46
Advanced,Hydro / Flash,2048,52.27
Advanced,Hydro / Flash,2049,52.09
Advanced,Hydro / Flash,2050,51.9
Moderate,Hydro / Flash,2022,71.28
Moderate,Hydro / Flash,2023,70.29
Moderate,Hydro / Flash,2024,69.37
Moderate,Hydro / Flash,2025,68.52
Moderate,Hydro / Flash,2026,67.72
Moderate,Hydro / Flash,2027,66.96
Moderate,Hydro / Flash,2028,66.25
Moderate,Hydro / Flash,2029,65.57
Moderate,Hydro / Flash,2030,64.93
Moderate,Hydro / Flash,2031,64.31
Moderate,Hydro / Flash,2032,63.72
Moderate,Hydro / Flash,2033,63.16
Moderate,Hydro / Flash,2034,62.62
Moderate,Hydro / Flash,2035,62.09
Moderate,Hydro / Flash,2036,61.86
Moderate,Hydro / Flash,2037,61.63
Moderate,Hydro / Flash,2038,61.4
Moderate,Hydro / Flash,2039,61.17
Moderate,Hydro / Flash,2040,60.94
Moderate,Hydro / Flash,2041,60.71
Moderate,Hydro / Flash,2042,60.48
Moderate,Hydro / Flash,2043,60.26
Moderate,Hydro / Flash,2044,60.03
Moderate,Hydro / Flash,2045,59.81
Moderate,Hydro / Flash,2046,59.59
Moderate,Hydro / Flash,2047,59.37
Moderate,Hydro / Flash,2048,59.15
Moderate,Hydro / Flash,2049,58.93
Moderate,Hydro / Flash,2050,58.71
Conservative,Hydro / Flash,2022,71.28
Conservative,Hydro / Flash,2023,71.01
Conservative,Hydro / Flash,2024,70.74
Conservative,Hydro / Flash,2025,70.46
Conservative,Hydro / Flash,2026,70.2
Conservative,Hydro / Flash,2027,69.93
Conservative,Hydro / Flash,2028,69.66
Conservative,Hydro / Flash,2029,69.39
Conservative,Hydro / Flash,2030,69.13
Conservative,Hydro / Flash,2031,68.87
Conservative,Hydro / Flash,2032,68.6
Conservative,Hydro / Flash,2033,68.34
Conservative,Hydro / Flash,2034,68.09
Conservative,Hydro / Flash,2035,67.83
Conservative,Hydro / Flash,2036,67.57
Conservative,Hydro / Flash,2037,67.32
Conservative,Hydro / Flash,2038,67.06
Conservative,Hydro / Flash,2039,66.81
Conservative,Hydro / Flash,2040,66.56
Conservative,Hydro / Flash,2041,66.31
Conservative,Hydro / Flash,2042,66.06
Conservative,Hydro / Flash,2043,65.81
Conservative,Hydro / Flash,2044,65.56
Conservative,Hydro / Flash,2045,65.32
Conservative,Hydro / Flash,2046,65.07
Conservative,Hydro / Flash,2047,64.83
Conservative,Hydro / Flash,2048,64.59
Conservative,Hydro / Flash,2049,64.35
Conservative,Hydro / Flash,2050,64.11
Advanced,Hydro / Binary,2022,106.49
Advanced,Hydro / Binary,2023,103.05
Advanced,Hydro / Binary,2024,99.85
Advanced,Hydro / Binary,2025,96.86
Advanced,Hydro / Binary,2026,94.05
Advanced,Hydro / Binary,2027,91.41
Advanced,Hydro / Binary,2028,88.91
Advanced,Hydro / Binary,2029,86.54
Advanced,Hydro / Binary,2030,84.29
Advanced,Hydro / Binary,2031,82.14
Advanced,Hydro / Binary,2032,80.08
Advanced,Hydro / Binary,2033,78.11
Advanced,Hydro / Binary,2034,76.21
Advanced,Hydro / Binary,2035,74.39
Advanced,Hydro / Binary,2036,74.11
Advanced,Hydro / Binary,2037,73.84
Advanced,Hydro / Binary,2038,73.57
Advanced,Hydro / Binary,2039,73.29
Advanced,Hydro / Binary,2040,73.02
Advanced,Hydro / Binary,2041,72.75
Advanced,Hydro / Binary,2042,72.48
Advanced,Hydro / Binary,2043,72.22
Advanced,Hydro / Binary,2044,71.95
Advanced,Hydro / Binary,2045,71.69
Advanced,Hydro / Binary,2046,71.42
Advanced,Hydro / Binary,2047,71.16
Advanced,Hydro / Binary,2048,70.9
Advanced,Hydro / Binary,2049,70.64
Advanced,Hydro / Binary,2050,70.39
Moderate,Hydro / Binary,2022,106.49
Moderate,Hydro / Binary,2023,104.34
Moderate,Hydro / Binary,2024,102.4
Moderate,Hydro / Binary,2025,100.63
Moderate,Hydro / Binary,2026,98.99
Moderate,Hydro / Binary,2027,97.46
Moderate,Hydro / Binary,2028,96.02
Moderate,Hydro / Binary,2029,94.67
Moderate,Hydro / Binary,2030,93.39
Moderate,Hydro / Binary,2031,92.18
Moderate,Hydro / Binary,2032,91.01
Moderate,Hydro / Binary,2033,89.9
Moderate,Hydro / Binary,2034,88.83
Moderate,Hydro / Binary,2035,87.8
Moderate,Hydro / Binary,2036,87.46
Moderate,Hydro / Binary,2037,87.13
Moderate,Hydro / Binary,2038,86.79
Moderate,Hydro / Binary,2039,86.46
Moderate,Hydro / Binary,2040,86.13
Moderate,Hydro / Binary,2041,85.8
Moderate,Hydro / Binary,2042,85.47
Moderate,Hydro / Binary,2043,85.15
Moderate,Hydro / Binary,2044,84.82
Moderate,Hydro / Binary,2045,84.5
Moderate,Hydro / Binary,2046,84.18
Moderate,Hydro / Binary,2047,83.86
Moderate,Hydro / Binary,2048,83.54
Moderate,Hydro / Binary,2049,83.23
Moderate,Hydro / Binary,2050,82.91
Conservative,Hydro / Binary,2022,106.49
Conservative,Hydro / Binary,2023,106.07
Conservative,Hydro / Binary,2024,105.67
Conservative,Hydro / Binary,2025,105.26
Conservative,Hydro / Binary,2026,104.85
Conservative,Hydro / Binary,2027,104.45
Conservative,Hydro / Binary,2028,104.05
Conservative,Hydro / Binary,2029,103.65
Conservative,Hydro / Binary,2030,103.25
Conservative,Hydro / Binary,2031,102.86
Conservative,Hydro / Binary,2032,102.47
Conservative,Hydro / Binary,2033,102.08
Conservative,Hydro / Binary,2034,101.69
Conservative,Hydro / Binary,2035,101.3
Conservative,Hydro / Binary,2036,100.92
Conservative,Hydro / Binary,2037,100.53
Conservative,Hydro / Binary,2038,100.15
Conservative,Hydro / Binary,2039,99.77
Conservative,Hydro / Binary,2040,99.39
Conservative,Hydro / Binary,2041,99.02
Conservative,Hydro / Binary,2042,98.65
Conservative,Hydro / Binary,2043,98.27
Conservative,Hydro / Binary,2044,97.9
Conservative,Hydro / Binary,2045,97.54
Conservative,Hydro / Binary,2046,97.17
Conservative,Hydro / Binary,2047,96.8
Conservative,Hydro / Binary,2048,96.44
Conservative,Hydro / Binary,2049,96.08
Conservative,Hydro / Binary,2050,95.72
